dataset,algorithm,instance,total_runs,feasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,aisle_cluster_expansion,instance_0001.txt,1,1,0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,45.0,45.0,45,45,45,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.114049,0.114049,0.114049,0.114049,0.114049,0.0,0.0
a,aisle_cluster_expansion,instance_0002.txt,1,1,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.000514,0.000514,0.000514,0.000514,0.000514,0.0,0.0
a,aisle_cluster_expansion,instance_0003.txt,1,1,0,8.75,8.75,8.75,8.75,8.75,0.0,0.0,35.0,35.0,35,35,35,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.248051,0.248051,0.248051,0.248051,0.248051,0.0,0.0
a,aisle_cluster_expansion,instance_0004.txt,1,1,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.016616,0.016616,0.016616,0.016616,0.016616,0.0,0.0
a,aisle_cluster_expansion,instance_0006.txt,1,1,0,691.0,691.0,691.0,691.0,691.0,0.0,0.0,691.0,691.0,691,691,691,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,1.708238,1.708238,1.708238,1.708238,1.708238,0.0,0.0
a,aisle_cluster_expansion,instance_0007.txt,1,1,0,328.25,328.25,328.25,328.25,328.25,0.0,0.0,1313.0,1313.0,1313,1313,1313,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,7.343746,7.343746,7.343746,7.343746,7.343746,0.0,0.0
a,aisle_cluster_expansion,instance_0009.txt,1,1,0,3.375,3.375,3.375,3.375,3.375,0.0,0.0,54.0,54.0,54,54,54,0.0,0.0,16.0,16.0,16,16,16,0.0,0.0,2.354824,2.354824,2.354824,2.354824,2.354824,0.0,0.0
a,aisle_cluster_expansion,instance_0012.txt,1,1,0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,2.516943,2.516943,2.516943,2.516943,2.516943,0.0,0.0
a,aisle_cluster_expansion,instance_0018.txt,1,1,0,104.0,104.0,104.0,104.0,104.0,0.0,0.0,624.0,624.0,624,624,624,0.0,0.0,6.0,6.0,6,6,6,0.0,0.0,1.07388,1.07388,1.07388,1.07388,1.07388,0.0,0.0
a,aisle_cluster_expansion,instance_0019.txt,1,1,0,202.0,202.0,202.0,202.0,202.0,0.0,0.0,202.0,202.0,202,202,202,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.411391,0.411391,0.411391,0.411391,0.411391,0.0,0.0
a,aisle_cluster_expansion,instance_0020.txt,1,1,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.00028,0.00028,0.00028,0.00028,0.00028,0.0,0.0
a,aisle_first_asc,instance_0001.txt,1,1,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.001989,0.001989,0.001989,0.001989,0.001989,0.0,0.0
