dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,2.879343657117836,2.8333333333333335,2.9565217391304346,2.310344827586207,3.526315789473684,0.09673471281076378,0.3110220455381962,67.56666666666666,68.0,68,67,68,0.24555555555555564,0.4955356249106169,23.733333333333334,24.0,25,19,29,6.195555555555558,2.489087293679263,0.00115528010000124,0.0010838985000134471,0.0013177139999811516,0.0007935379999821635,0.002024251000023014,6.941636603955769e-08,0.000263469857933612
a,instance_0002.txt,1.3666666666666667,1.0,1.0,1.0,2.0,0.23222222222222216,0.4818944098266986,2.0,2.0,2,2,2,0.0,0.0,1.6333333333333333,2.0,2,1,2,0.23222222222222216,0.4818944098266986,3.346819999971255e-05,3.2068999985312985e-05,3.288599998541031e-05,2.5661999984549766e-05,7.142600003362531e-05,9.718127736336965e-11,9.858056469881356e-06
a,instance_0003.txt,2.86735465641142,2.8513513513513513,2.789473684210526,2.25531914893617,3.6551724137931036,0.09647057959036878,0.31059713390559285,105.83333333333333,106.0,106,105,106,0.13888888888888887,0.3726779962499649,37.333333333333336,37.0,36,29,47,15.68888888888889,3.960920207336786,0.0024851369333399966,0.0021947220000129164,0.0033715459999825725,0.0015388140000140993,0.004684385000018665,6.017080057915612e-07,0.0007756983987295328
a,instance_0004.txt,1.8126041866854228,1.8181818181818181,1.8181818181818181,1.3928571428571428,2.1666666666666665,0.03360291247839002,0.18331097206220368,39.46666666666667,39.5,40,38,40,0.31555555555555564,0.5617433182117573,22.0,22.0,22,18,28,5.2,2.280350850198276,0.0008584589000065534,0.0008222209999928509,0.0010486070000297332,0.00047143200004029495,0.0011971929999958775,7.185915661078695e-08,0.00026806558266735203
a,instance_0005.txt,31.91309646973718,31.960409393843225,32.08029197080292,30.943661971830984,33.045112781954884,0.2084797698008524,0.45659584952214843,4394.6,4395.0,4395,4394,4395,0.23999999999999996,0.4898979485566356,137.73333333333332,137.5,137,133,142,3.8622222222222233,1.965253729731157,0.09738394433333421,0.09510158150001757,0.10402781599998434,0.0883915009999896,0.15014717899998686,0.00011567770436250175,0.010755357007673048
a,instance_0006.txt,26.71570619895351,26.65753424657534,26.476190476190474,25.437908496732025,27.8,0.25132194573271954,0.5013202027972936,3892.0,3892.0,3892,3892,3892,0.0,0.0,145.73333333333332,146.0,147,140,153,7.4622222222222225,2.731706833139717,0.11549485163333202,0.11509141749999685,0.10912866400002486,0.10730126900000414,0.1337746859999811,2.788793681719843e-05,0.005280903030467274
a,instance_0007.txt,26.255991098133816,26.259691547852018,26.53103448275862,25.64666666666667,26.71527777777778,0.06751006315789439,0.25982698696997275,3847.0,3847.0,3847,3847,3847,0.0,0.0,146.53333333333333,146.5,145,144,150,2.115555555555555,1.4544949486180951,0.11658657813333662,0.1171992725000166,0.11184279299999389,0.11117217899999332,0.12009818400002814,5.744154108452254e-06,0.0023966964990278293
a,instance_0008.txt,21.128193790676278,21.111802100608074,21.037037037037038,20.27857142857143,21.846153846153847,0.10480891634508678,0.3237420521728476,2839.6666666666665,2840.0,2840,2839,2840,0.2222222222222222,0.4714045207910317,134.43333333333334,134.5,135,130,140,4.245555555555557,2.0604745947367458,0.06708174553333493,0.06645247400001608,0.07053327999994963,0.061019648000012694,0.07340151500000047,6.912587894669718e-06,0.0026291800803044506
a,instance_0009.txt,2.0511159300182995,2.054054054054054,2.140845070422535,1.8433734939759037,2.303030303030303,0.010095170908373351,0.10047472770987415,152.5,152.5,152,152,153,0.25,0.5,74.53333333333333,74.0,71,66,83,14.182222222222219,3.7659291313329595,0.007557544433332926,0.007416099500005657,0.007361207000030845,0.0063170899999818175,0.009068192000029285,3.697427781772584e-07,0.0006080647812340873
a,instance_0010.txt,5.607742139914397,5.612540192926045,5.724590163934426,5.405572755417957,5.781456953642384,0.009272846909299104,0.09629562248253606,1745.7333333333333,1746.0,1746,1745,1746,0.19555555555555548,0.44221663871405326,311.4,311.0,305,302,323,28.90666666666666,5.37649204097492,0.14280362103334218,0.14232402499999353,0.13736047900005133,0.13696337600003972,0.1493444239999917,1.1042232475933593e-05,0.003322985476335037
a,instance_0011.txt,6.50386938287959,6.512738853503185,6.533546325878595,6.3312693498452015,6.749174917491749,0.007653200979955537,0.08748257529334362,2044.6666666666667,2045.0,2045,2044,2045,0.22222222222222232,0.4714045207910318,314.43333333333334,314.0,313,303,323,17.57888888888889,4.192718555888159,0.158601409000003,0.15933789249999109,0.17205905000002986,0.1517875420000223,0.17205905000002986,1.424635232641976e-05,0.003774434040544325
a,instance_0012.txt,2.222577808383856,2.2201740506329113,2.1728395061728394,1.9666666666666666,2.5652173913043477,0.023888793173137315,0.15455999861910363,176.53333333333333,177.0,177,176,177,0.24888888888888897,0.4988876515698589,79.8,79.5,79,69,90,29.026666666666667,5.387640176057293,0.00867732436667552,0.00864072950002992,0.009991974999991271,0.006623332999993181,0.010443125999984204,7.1415105982851e-07,0.0008450745883225398
a,instance_0013.txt,12.476063913853293,12.487738419618529,12.521857923497267,12.221333333333334,12.660220994475138,0.009820365251223033,0.09909775603525557,4583.0,4583.0,4583,4583,4583,0.0,0.0,367.3666666666667,367.0,366,362,375,8.565555555555557,2.9266970385667794,0.4544823017000056,0.42893857500001786,0.3944726749999745,0.3937226929999724,0.6024525220000214,0.004556925474097061,0.06750500332639842
a,instance_0014.txt,20.2799594516463,20.259162303664922,20.20626631853786,19.945876288659793,20.637333333333334,0.02703675148910276,0.16442856044222598,7739.0,7739.0,7739,7739,7739,0.0,0.0,381.6333333333333,382.0,383,375,388,9.565555555555557,3.092823233803632,0.7491971261666606,0.7107162830000107,0.7584820050000189,0.6847440829999982,0.9526624539999489,0.006090069244888466,0.07803889571802299
a,instance_0015.txt,10.404423872898148,10.407375842256045,10.36338028169014,10.191135734072022,10.757309941520468,0.010421878551764465,0.10208760234114848,3679.0,3679.0,3679,3679,3679,0.0,0.0,353.6333333333333,353.5,355,342,361,11.832222222222223,3.4397997357727417,0.37018683326666635,0.3382137194999757,0.32736948699999857,0.311963503999948,0.5460509129999878,0.004213105092586276,0.0649084362204658
a,instance_0016.txt,9.369392905629915,9.333765272121436,9.27027027027027,8.909090909090908,9.942028985507246,0.059985828512345386,0.24492004514197155,686.0,686.0,686,686,686,0.0,0.0,73.26666666666667,73.5,74,69,77,3.595555555555555,1.8961950204437188,0.018152340999993535,0.018028626499983602,0.018392312999992555,0.017548082000018894,0.020235648999971545,2.570118475539066e-07,0.0005069633591827979
a,instance_0017.txt,3.6154938856312295,3.6458333333333335,3.5,3.240740740740741,4.166666666666667,0.053767716777449084,0.23187866822424413,175.0,175.0,175,175,175,0.0,0.0,48.6,48.0,50,42,54,9.506666666666664,3.083288287959247,0.004537473600009889,0.004533476000005976,0.004619565000041348,0.004237235999994482,0.005108086999996431,2.4536591438075496e-08,0.0001566416018753495
a,instance_0018.txt,14.957432258980836,14.876543209876543,15.0625,14.345238095238095,15.855263157894736,0.10661128602661224,0.32651383741981327,1205.0,1205.0,1205,1205,1205,0.0,0.0,80.6,81.0,80,76,84,3.0399999999999996,1.7435595774162693,0.02782320256667011,0.027849199000030467,0.027791048000040064,0.026133157999993273,0.029535803999976906,5.709716653267038e-07,0.0007556266706030855
a,instance_0019.txt,9.433876290653988,9.424528301886792,9.424528301886792,8.763157894736842,10.090909090909092,0.11665664686796459,0.3415503577336212,999.0,999.0,999,999,999,0.0,0.0,106.03333333333333,106.0,106,99,114,14.632222222222225,3.8252087815205886,0.03466181596667373,0.03461911600001599,0.03424785499998961,0.032112350999966566,0.03624584500005312,9.265910185742984e-07,0.000962595978889533
