dataset,instance,best_objective
a,instance_0001.txt,0.5862068965517241
a,instance_0002.txt,0.06451612903225806
a,instance_0003.txt,0.8548387096774194
a,instance_0004.txt,0.43956043956043955
a,instance_0005.txt,27.29813664596273
a,instance_0006.txt,21.152173913043477
a,instance_0007.txt,21.372222222222224
a,instance_0008.txt,16.904761904761905
a,instance_0009.txt,0.5
a,instance_0010.txt,4.556135770234987
a,instance_0011.txt,5.453333333333333
a,instance_0012.txt,0.5146198830409356
a,instance_0013.txt,11.09685230024213
a,instance_0014.txt,18.73849878934625
a,instance_0015.txt,9.151741293532337
a,instance_0016.txt,7.795454545454546
a,instance_0017.txt,2.108433734939759
a,instance_0018.txt,13.38888888888889
a,instance_0019.txt,7.455223880597015
a,instance_0020.txt,2.4
