dataset,instance,best_objective
a,instance_0001.txt,3.243272727272727
a,instance_0002.txt,1.2
a,instance_0003.txt,3.0903303220544602
a,instance_0004.txt,1.9747904404116547
a,instance_0005.txt,32.51195194836056
a,instance_0006.txt,27.165932350573208
a,instance_0007.txt,26.45985074395055
a,instance_0008.txt,21.645969798687126
a,instance_0009.txt,2.2390926821850585
a,instance_0010.txt,5.857888940084592
a,instance_0011.txt,6.945796255962028
a,instance_0012.txt,2.5467226890756303
a,instance_0013.txt,12.63998526531414
a,instance_0014.txt,20.399668903497258
a,instance_0015.txt,10.715980174156805
a,instance_0016.txt,9.479896499238965
a,instance_0017.txt,3.82942111080409
a,instance_0018.txt,14.989965943611617
a,instance_0019.txt,9.57807747298573
a,instance_0020.txt,4.066666666666666
