dataset,algorithm,instance,total_runs,feasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,simple,instance_0009.txt,5,5,0,2.048184722763125,2.013157894736842,2.013157894736842,1.8658536585365855,2.3181818181818183,0.0232067963560246,0.15233777061525025,152.8,153.0,153,152,153,0.16,0.4,75.0,76.0,76,66,82,28.8,5.366563145999495,0.01743,0.017971,0.018236,0.013904,0.021221,6.069043600000001e-06,0.0024635428959123083
a,simple,instance_0010.txt,5,5,0,5.6182104610838,5.632258064516129,5.6688311688311686,5.542857142857143,5.6688311688311686,0.002519046005216366,0.050190098677093335,1746.0,1746.0,1746,1746,1746,0.0,0.0,310.8,310.0,308,308,315,7.76,2.7856776554368237,0.2576772,0.254479,0.254479,0.221423,0.294698,0.0008226210149600004,0.028681370520949663
a,simple,instance_0011.txt,5,5,0,6.56246705651772,6.533546325878595,6.512738853503185,6.492063492063492,6.701639344262295,0.005546501791299669,0.07447483998841266,2044.6,2045.0,2045,2044,2045,0.24,0.4898979485566356,311.6,313.0,314,305,315,12.64,3.5552777669262356,0.2742546,0.291419,0.202272,0.202272,0.344785,0.0025630071346400005,0.050626150699416214
a,simple,instance_0012.txt,5,5,0,2.1999906496247865,2.1325301204819276,2.3466666666666667,2.046511627906977,2.391891891891892,0.020057060861517928,0.14162295315914694,176.6,177.0,177,176,177,0.24,0.4898979485566356,80.6,83.0,75,74,86,25.839999999999996,5.083306010855534,0.0195986,0.019919,0.019919,0.015526,0.023038,7.1241778399999996e-06,0.002669115553886718
a,simple,instance_0013.txt,5,5,0,12.468045889925865,12.420054200542005,12.386486486486486,12.386486486486486,12.62534435261708,0.008649123230160202,0.09300066252538312,4583.0,4583.0,4583,4583,4583,0.0,0.0,367.6,369.0,370,363,370,7.44,2.727636339397171,0.7331015999999999,0.784756,0.560958,0.560958,0.829824,0.010763763782640002,0.1037485603882772
a,simple,instance_0014.txt,5,5,0,20.23946069900277,20.153645833333332,20.153645833333332,20.101298701298703,20.58244680851064,0.030511691631819816,0.1746759618030478,7739.0,7739.0,7739,7739,7739,0.0,0.0,382.4,384.0,384,376,385,10.64,3.2619012860600183,1.1044654,1.031929,0.980425,0.980425,1.250937,0.01304296096503999,0.11420578341327549
a,simple,instance_0015.txt,5,5,0,10.381011399271044,10.392655367231638,10.392655367231638,10.334269662921349,10.422096317280452,0.0008909561383421107,0.02984888839374275,3679.0,3679.0,3679,3679,3679,0.0,0.0,354.4,354.0,354,353,356,1.04,1.019803902718557,0.47289639999999994,0.465756,0.453553,0.453553,0.51746,0.0005418662170400007,0.023278020041232042
a,simple,instance_0016.txt,5,5,0,9.297728331070797,9.27027027027027,9.146666666666667,9.146666666666667,9.527777777777779,0.021844510719202855,0.14779888605535177,686.0,686.0,686,686,686,0.0,0.0,73.8,74.0,75,72,75,1.3599999999999999,1.16619037896906,0.03929300000000001,0.029056,0.028463,0.028463,0.056263,0.00016753386360000003,0.012943487304432297
a,simple,instance_0017.txt,5,5,0,3.5577380952380957,3.5714285714285716,3.5,3.5,3.6458333333333335,0.002960600907029486,0.05441140420012597,175.0,175.0,175,175,175,0.0,0.0,49.2,49.0,50,48,50,0.5599999999999999,0.7483314773547882,0.012356,0.012765,0.01274,0.006893,0.015977,8.874229600000003e-06,0.0029789645180834236
a,simple,instance_0018.txt,5,5,0,15.153607918920258,14.876543209876543,14.876543209876543,14.695121951219512,16.066666666666666,0.24146537791757305,0.4913912676448098,1205.0,1205.0,1205,1205,1205,0.0,0.0,79.6,81.0,81,75,82,6.24,2.4979991993593593,0.0638302,0.070547,0.070547,0.046971,0.077312,0.00014815767496000003,0.012172003736443726
a,simple,instance_0019.txt,5,5,0,9.516692956802746,9.60576923076923,9.336448598130842,9.336448598130842,9.699029126213592,0.022818340301803432,0.15105740730531367,999.0,999.0,999,999,999,0.0,0.0,105.0,104.0,107,103,107,2.8,1.6733200530681511,0.0573174,0.058743,0.057967,0.047759,0.06287,2.5675181839999978e-05,0.005067068367409303
a,simple,instance_0020.txt,5,5,0,3.5333333333333337,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.026666666666666623,0.16329931618554508,10.6,11.0,11,10,11,0.24000000000000005,0.48989794855663565,3.0,3.0,3,3,3,0.0,0.0,0.0001268,0.000126,0.000127,0.000116,0.000142,7.256000000000004e-11,8.518215775618744e-06
a,simple_multi,instance_0001.txt,5,5,0,2.795779872301611,2.72,3.0454545454545454,2.576923076923077,3.0454545454545454,0.03104425098504542,0.17619378815680597,67.4,67.0,67,67,68,0.24,0.4898979485566356,24.2,25.0,25,22,26,2.16,1.469693845669907,0.0031676000000000005,0.003173,0.003001,0.003001,0.003302,1.0451439999999984e-08,0.00010223228452890987
a,simple_multi,instance_0002.txt,5,5,0,1.2,1.0,1.0,1.0,2.0,0.16,0.4,2.0,2.0,2,2,2,0.0,0.0,1.8,2.0,2,1,2,0.16,0.4,0.00017240000000000002,0.000175,0.000175,0.000159,0.000181,5.344000000000009e-11,7.310266752998832e-06
a,simple_multi,instance_0003.txt,5,5,0,3.279191804927099,3.1176470588235294,2.9444444444444446,2.9444444444444446,4.076923076923077,0.177538582774642,0.42135327550007484,106.0,106.0,106,106,106,0.0,0.0,32.8,34.0,36,26,36,13.76,3.7094473981982814,0.006750000000000001,0.006742,0.008794,0.005636,0.008794,1.2564171999999997e-06,0.001120900173967334
a,simple_multi,instance_0004.txt,5,5,0,1.881511387163561,1.9047619047619047,1.95,1.6956521739130435,2.0,0.01088166008684507,0.10431519585777074,39.4,39.0,39,39,40,0.24,0.4898979485566356,21.0,21.0,20,20,23,1.2,1.0954451150103321,0.0015462,0.001254,0.001254,0.001203,0.002456,2.2876455999999996e-07,0.00047829338276835897
a,simple_multi,instance_0005.txt,5,5,0,32.31674106706807,32.30882352941177,31.847826086956523,31.847826086956523,32.798507462686565,0.11369768638536833,0.3371908752996859,4394.6,4395.0,4395,4394,4395,0.24,0.4898979485566356,136.0,136.0,138,134,138,2.0,1.4142135623730951,0.23628280000000004,0.235376,0.228493,0.190724,0.267612,0.0007288473893600003,0.026997173729114688
a,simple_multi,instance_0006.txt,5,5,0,27.220544704337804,27.216783216783217,27.216783216783217,26.841379310344827,27.8,0.10334444424509162,0.32147230712005603,3892.0,3892.0,3892,3892,3892,0.0,0.0,143.0,143.0,143,140,145,2.8,1.6733200530681511,0.31380440000000004,0.308329,0.306233,0.267149,0.367065,0.0010284436350399989,0.03206935663589151
a,simple_multi,instance_0007.txt,5,5,0,26.715793143637974,26.71527777777778,26.71527777777778,26.53103448275862,26.902097902097903,0.013769204520130824,0.11734225377131131,3847.0,3847.0,3847,3847,3847,0.0,0.0,144.0,144.0,144,143,145,0.4,0.6324555320336759,0.2780376,0.277318,0.277318,0.253063,0.297836,0.0002574496210399999,0.016045236708755652
a,simple_multi,instance_0008.txt,5,5,0,21.646037289347856,21.6793893129771,21.6793893129771,21.345864661654137,21.846153846153847,0.02669746303298694,0.16339358320627814,2839.8,2840.0,2840,2839,2840,0.15999999999999998,0.39999999999999997,131.2,131.0,131,130,133,0.9600000000000002,0.9797958971132713,0.1919496,0.183971,0.204098,0.178314,0.210137,0.00016080381863999992,0.012680844555470267
a,simple_multi,instance_0009.txt,5,5,0,2.305174403446375,2.1857142857142855,2.1857142857142855,2.140845070422535,2.5762711864406778,0.030820099394054,0.17555654187199632,152.2,152.0,152,152,153,0.16000000000000003,0.4,66.4,70.0,70,59,71,24.24,4.923413450036469,0.0173098,0.017566,0.017585,0.013566,0.020579,4.96966136e-06,0.0022292737292670005
a,simple_multi,instance_0010.txt,5,5,0,5.929855929404178,5.97945205479452,5.97945205479452,5.6688311688311686,6.0625,0.018299978277324692,0.13527741229534476,1746.0,1746.0,1746,1746,1746,0.0,0.0,294.6,292.0,292,288,308,47.83999999999999,6.916646586316232,0.4598706,0.456578,0.38131,0.38131,0.534825,0.00392131953104,0.06262044020158274
a,simple_multi,instance_0011.txt,5,5,0,6.876614988484216,6.885521885521886,6.9523809523809526,6.7269736842105265,6.95578231292517,0.006936281505690142,0.08328434129949124,2044.8,2045.0,2045,2044,2045,0.16000000000000006,0.4000000000000001,297.4,297.0,294,294,304,13.440000000000001,3.6660605559646724,0.3560472,0.346604,0.407533,0.320173,0.407533,0.0008885775841599999,0.02980901850380183
a,simple_multi,instance_0012.txt,5,5,0,2.483276988856214,2.492957746478873,2.492957746478873,2.269230769230769,2.765625,0.02857574057030294,0.16904360552917386,177.0,177.0,177,177,177,0.0,0.0,71.6,71.0,71,64,78,22.639999999999997,4.758150901348127,0.0322712,0.029019,0.028037,0.025607,0.048665,6.934108816e-05,0.00832712964712331
a,simple_multi,instance_0013.txt,5,5,0,12.63247298839934,12.62534435261708,12.62534435261708,12.556164383561644,12.695290858725762,0.002128134948407528,0.04613171304436383,4583.0,4583.0,4583,4583,4583,0.0,0.0,362.8,363.0,363,361,365,1.7600000000000002,1.32664991614216,0.8237078,0.815021,0.806871,0.777427,0.896147,0.001549738288960001,0.03936671549621585
a,simple_multi,instance_0014.txt,5,5,0,20.355606536559492,20.36578947368421,20.36578947368421,20.20626631853786,20.52785145888594,0.01081010827427673,0.10397167053710703,7739.0,7739.0,7739,7739,7739,0.0,0.0,380.2,380.0,380,377,383,3.7600000000000002,1.9390719429665317,1.140698,1.171009,0.923108,0.923108,1.282806,0.016895393145999995,0.12998228012309984
a,simple_multi,instance_0015.txt,5,5,0,10.764432557688453,10.788856304985337,10.663768115942029,10.663768115942029,10.916913946587536,0.008942054497775244,0.09456243703382038,3679.0,3679.0,3679,3679,3679,0.0,0.0,341.8,341.0,345,337,345,8.959999999999999,2.993325909419153,0.7755022,0.799163,0.799163,0.660603,0.886177,0.006883928398959997,0.08296944256146353
a,simple_multi,instance_0016.txt,5,5,0,9.503850396798498,9.527777777777779,9.661971830985916,9.27027027027027,9.661971830985916,0.023299685050496406,0.1526423435698509,686.0,686.0,686,686,686,0.0,0.0,72.2,72.0,71,71,74,1.3599999999999999,1.16619037896906,0.023762600000000002,0.023958,0.025824,0.020564,0.025824,3.1127582400000002e-06,0.0017643010627441111
a,simple_multi,instance_0017.txt,5,5,0,3.7578502415458934,3.8043478260869565,3.6458333333333335,3.6458333333333335,3.888888888888889,0.009318150656958141,0.09653056851048865,175.0,175.0,175,175,175,0.0,0.0,46.6,46.0,48,45,48,1.44,1.2,0.011486,0.012738,0.008263,0.008263,0.013982,6.2422052e-06,0.002498440553625401
a,simple_multi,instance_0018.txt,5,5,0,15.22369034157652,15.448717948717949,15.448717948717949,14.695121951219512,15.64935064935065,0.13647144397961616,0.3694204163004749,1205.0,1205.0,1205,1205,1205,0.0,0.0,79.2,78.0,78,77,82,3.7599999999999993,1.9390719429665315,0.046699000000000004,0.04389,0.067848,0.034496,0.067848,0.00015537277600000007,0.012464861651859602
a,simple_multi,instance_0019.txt,5,5,0,9.532927638399338,9.514285714285714,9.514285714285714,9.424528301886792,9.60576923076923,0.004611450796727899,0.06790766375548418,999.0,999.0,999,999,999,0.0,0.0,104.8,105.0,105,104,106,0.5599999999999999,0.7483314773547882,0.08529479999999999,0.086484,0.080749,0.080749,0.087215,5.529498560000004e-06,0.002351488583854917
a,simple_multi,instance_0020.txt,5,5,0,3.9333333333333336,3.6666666666666665,5.0,3.0,5.0,0.8177777777777779,0.9043106644167025,11.0,11.0,10,10,12,0.8,0.8944271909999159,3.0,3.0,2,2,4,0.8,0.8944271909999159,0.00011659999999999999,0.000116,0.000132,0.000105,0.000132,9.504000000000004e-11,9.748846085563155e-06
