instance,algorithm_left,algorithm_right,orders_jaccard,aisles_jaccard,items_jaccard,orders_overlap,aisles_overlap,items_overlap
instance_0001.txt,simple,simple_multi,0.11764705882352941,0.21875,0.13924050632911392,4,7,11
instance_0002.txt,simple,simple_multi,1.0,1.0,1.0,1,1,1
instance_0003.txt,simple,simple_multi,0.13043478260869565,0.30434782608695654,0.13740458015267176,6,14,18
instance_0004.txt,simple,simple_multi,0.2857142857142857,0.21875,0.3,4,7,15
instance_0005.txt,simple,simple_multi,0.1906721536351166,0.9014084507042254,0.2623929405657929,278,128,1011
instance_0006.txt,simple,simple_multi,0.15384615384615385,0.9054054054054054,0.23399790136411333,748,134,892
instance_0007.txt,simple,simple_multi,0.22289890377588306,0.9133333333333333,0.3085304278501196,1098,137,1161
instance_0008.txt,simple,simple_multi,0.14418604651162792,0.9057971014492754,0.2033457249070632,124,125,547
instance_0009.txt,simple,simple_multi,0.35714285714285715,0.3894736842105263,0.40217391304347827,20,37,74
instance_0010.txt,simple,simple_multi,0.2332657200811359,0.8126888217522659,0.2531102531102531,230,269,590
instance_0011.txt,simple,simple_multi,0.41077844311377243,0.8096676737160121,0.43680709534368073,343,268,985
instance_0012.txt,simple,simple_multi,0.20588235294117646,0.308411214953271,0.25824175824175827,14,33,47
instance_0013.txt,simple,simple_multi,0.3161322645290581,0.9381720430107527,0.33836638166272515,1893,349,1860
instance_0014.txt,simple,simple_multi,0.3542474075625851,0.9333333333333333,0.3884125144843569,3382,364,3352
instance_0015.txt,simple,simple_multi,0.2584199584199584,0.8956043956043956,0.29127305443094914,1243,326,1295
instance_0016.txt,simple,simple_multi,0.45493107104984093,0.88,0.46993318485523383,429,66,422
instance_0017.txt,simple,simple_multi,0.25,0.5714285714285714,0.26181818181818184,70,32,72
instance_0018.txt,simple,simple_multi,0.2291421856639248,0.8809523809523809,0.2596026490066225,390,74,392
instance_0019.txt,simple,simple_multi,0.23564504101416853,0.7652173913043478,0.2624113475177305,316,88,333
instance_0020.txt,simple,simple_multi,1.0,1.0,1.0,3,3,4
