dataset,algorithm,instance,total_runs,feasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,simple,instance_0001.txt,1,1,0,2.72,2.72,2.72,2.72,2.72,0.0,0.0,68.0,68.0,68,68,68,0.0,0.0,25.0,25.0,25,25,25,0.0,0.0,0.002342,0.002342,0.002342,0.002342,0.002342,0.0,0.0
a,simple,instance_0002.txt,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.000284,0.000284,0.000284,0.000284,0.000284,0.0,0.0
a,simple,instance_0003.txt,1,1,0,2.789473684210526,2.789473684210526,2.789473684210526,2.789473684210526,2.789473684210526,0.0,0.0,106.0,106.0,106,106,106,0.0,0.0,38.0,38.0,38,38,38,0.0,0.0,0.005766,0.005766,0.005766,0.005766,0.005766,0.0,0.0
a,simple,instance_0004.txt,1,1,0,1.7391304347826086,1.7391304347826086,1.7391304347826086,1.7391304347826086,1.7391304347826086,0.0,0.0,40.0,40.0,40,40,40,0.0,0.0,23.0,23.0,23,23,23,0.0,0.0,0.0015,0.0015,0.0015,0.0015,0.0015,0.0,0.0
a,simple,instance_0005.txt,1,1,0,31.392857142857142,31.392857142857142,31.392857142857142,31.392857142857142,31.392857142857142,0.0,0.0,4395.0,4395.0,4395,4395,4395,0.0,0.0,140.0,140.0,140,140,140,0.0,0.0,0.206258,0.206258,0.206258,0.206258,0.206258,0.0,0.0
a,simple,instance_0006.txt,1,1,0,26.65753424657534,26.65753424657534,26.65753424657534,26.65753424657534,26.65753424657534,0.0,0.0,3892.0,3892.0,3892,3892,3892,0.0,0.0,146.0,146.0,146,146,146,0.0,0.0,0.193426,0.193426,0.193426,0.193426,0.193426,0.0,0.0
a,simple,instance_0007.txt,1,1,0,26.902097902097903,26.902097902097903,26.902097902097903,26.902097902097903,26.902097902097903,0.0,0.0,3847.0,3847.0,3847,3847,3847,0.0,0.0,143.0,143.0,143,143,143,0.0,0.0,0.225707,0.225707,0.225707,0.225707,0.225707,0.0,0.0
a,simple,instance_0008.txt,1,1,0,20.88235294117647,20.88235294117647,20.88235294117647,20.88235294117647,20.88235294117647,0.0,0.0,2840.0,2840.0,2840,2840,2840,0.0,0.0,136.0,136.0,136,136,136,0.0,0.0,0.175693,0.175693,0.175693,0.175693,0.175693,0.0,0.0
a,simple,instance_0009.txt,1,1,0,1.9125,1.9125,1.9125,1.9125,1.9125,0.0,0.0,153.0,153.0,153,153,153,0.0,0.0,80.0,80.0,80,80,80,0.0,0.0,0.013214,0.013214,0.013214,0.013214,0.013214,0.0,0.0
a,simple,instance_0010.txt,1,1,0,5.578274760383387,5.578274760383387,5.578274760383387,5.578274760383387,5.578274760383387,0.0,0.0,1746.0,1746.0,1746,1746,1746,0.0,0.0,313.0,313.0,313,313,313,0.0,0.0,0.215755,0.215755,0.215755,0.215755,0.215755,0.0,0.0
