dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,bigger,instance_0018.txt,1,1,0,0,16.066666666666666,16.066666666666666,16.066666666666666,16.066666666666666,16.066666666666666,0.0,0.0,1205.0,1205.0,1205,1205,1205,0.0,0.0,75.0,75.0,75,75,75,0.0,0.0,0.03222,0.03222,0.03222,0.03222,0.03222,0.0,0.0
a,bigger,instance_0019.txt,1,1,0,0,10.090909090909092,10.090909090909092,10.090909090909092,10.090909090909092,10.090909090909092,0.0,0.0,999.0,999.0,999,999,999,0.0,0.0,99.0,99.0,99,99,99,0.0,0.0,0.05993,0.05993,0.05993,0.05993,0.05993,0.0,0.0
a,bigger,instance_0020.txt,1,1,0,0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.000125,0.000125,0.000125,0.000125,0.000125,0.0,0.0
a,bigger_multi,instance_0001.txt,1,1,0,0,5.230769230769231,5.230769230769231,5.230769230769231,5.230769230769231,5.230769230769231,0.0,0.0,68.0,68.0,68,68,68,0.0,0.0,13.0,13.0,13,13,13,0.0,0.0,0.00481,0.00481,0.00481,0.00481,0.00481,0.0,0.0
a,bigger_multi,instance_0002.txt,1,1,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.000149,0.000149,0.000149,0.000149,0.000149,0.0,0.0
a,bigger_multi,instance_0003.txt,1,1,0,0,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,0.0,0.0,106.0,106.0,106,106,106,0.0,0.0,24.0,24.0,24,24,24,0.0,0.0,0.009819,0.009819,0.009819,0.009819,0.009819,0.0,0.0
a,bigger_multi,instance_0004.txt,1,1,0,0,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367,0.0,0.0,40.0,40.0,40,40,40,0.0,0.0,19.0,19.0,19,19,19,0.0,0.0,0.002236,0.002236,0.002236,0.002236,0.002236,0.0,0.0
a,bigger_multi,instance_0005.txt,1,1,0,0,35.16,35.16,35.16,35.16,35.16,0.0,0.0,4395.0,4395.0,4395,4395,4395,0.0,0.0,125.0,125.0,125,125,125,0.0,0.0,0.366311,0.366311,0.366311,0.366311,0.366311,0.0,0.0
a,bigger_multi,instance_0006.txt,1,1,0,0,31.901639344262296,31.901639344262296,31.901639344262296,31.901639344262296,31.901639344262296,0.0,0.0,3892.0,3892.0,3892,3892,3892,0.0,0.0,122.0,122.0,122,122,122,0.0,0.0,0.5471,0.5471,0.5471,0.5471,0.5471,0.0,0.0
a,bigger_multi,instance_0007.txt,1,1,0,0,28.708955223880597,28.708955223880597,28.708955223880597,28.708955223880597,28.708955223880597,0.0,0.0,3847.0,3847.0,3847,3847,3847,0.0,0.0,134.0,134.0,134,134,134,0.0,0.0,0.551178,0.551178,0.551178,0.551178,0.551178,0.0,0.0
a,bigger_multi,instance_0008.txt,1,1,0,0,32.26136363636363,32.26136363636363,32.26136363636363,32.26136363636363,32.26136363636363,0.0,0.0,2839.0,2839.0,2839,2839,2839,0.0,0.0,88.0,88.0,88,88,88,0.0,0.0,0.346569,0.346569,0.346569,0.346569,0.346569,0.0,0.0
a,bigger_multi,instance_0009.txt,1,1,0,0,2.9423076923076925,2.9423076923076925,2.9423076923076925,2.9423076923076925,2.9423076923076925,0.0,0.0,153.0,153.0,153,153,153,0.0,0.0,52.0,52.0,52,52,52,0.0,0.0,0.024852,0.024852,0.024852,0.024852,0.024852,0.0,0.0
a,bigger_multi,instance_0010.txt,1,1,0,0,6.235714285714286,6.235714285714286,6.235714285714286,6.235714285714286,6.235714285714286,0.0,0.0,1746.0,1746.0,1746,1746,1746,0.0,0.0,280.0,280.0,280,280,280,0.0,0.0,0.859548,0.859548,0.859548,0.859548,0.859548,0.0,0.0
a,bigger_multi,instance_0011.txt,1,1,0,0,7.200704225352113,7.200704225352113,7.200704225352113,7.200704225352113,7.200704225352113,0.0,0.0,2045.0,2045.0,2045,2045,2045,0.0,0.0,284.0,284.0,284,284,284,0.0,0.0,0.68678,0.68678,0.68678,0.68678,0.68678,0.0,0.0
a,bigger_multi,instance_0012.txt,1,1,0,0,3.6875,3.6875,3.6875,3.6875,3.6875,0.0,0.0,177.0,177.0,177,177,177,0.0,0.0,48.0,48.0,48,48,48,0.0,0.0,0.038083,0.038083,0.038083,0.038083,0.038083,0.0,0.0
a,bigger_multi,instance_0013.txt,1,1,0,0,13.056980056980057,13.056980056980057,13.056980056980057,13.056980056980057,13.056980056980057,0.0,0.0,4583.0,4583.0,4583,4583,4583,0.0,0.0,351.0,351.0,351,351,351,0.0,0.0,1.421203,1.421203,1.421203,1.421203,1.421203,0.0,0.0
a,bigger_multi,instance_0014.txt,1,1,0,0,20.692513368983956,20.692513368983956,20.692513368983956,20.692513368983956,20.692513368983956,0.0,0.0,7739.0,7739.0,7739,7739,7739,0.0,0.0,374.0,374.0,374,374,374,0.0,0.0,2.134839,2.134839,2.134839,2.134839,2.134839,0.0,0.0
a,bigger_multi,instance_0015.txt,1,1,0,0,10.820588235294117,10.820588235294117,10.820588235294117,10.820588235294117,10.820588235294117,0.0,0.0,3679.0,3679.0,3679,3679,3679,0.0,0.0,340.0,340.0,340,340,340,0.0,0.0,1.371872,1.371872,1.371872,1.371872,1.371872,0.0,0.0
a,bigger_multi,instance_0016.txt,1,1,0,0,9.661971830985916,9.661971830985916,9.661971830985916,9.661971830985916,9.661971830985916,0.0,0.0,686.0,686.0,686,686,686,0.0,0.0,71.0,71.0,71,71,71,0.0,0.0,0.042838,0.042838,0.042838,0.042838,0.042838,0.0,0.0
a,bigger_multi,instance_0017.txt,1,1,0,0,3.8043478260869565,3.8043478260869565,3.8043478260869565,3.8043478260869565,3.8043478260869565,0.0,0.0,175.0,175.0,175,175,175,0.0,0.0,46.0,46.0,46,46,46,0.0,0.0,0.017701,0.017701,0.017701,0.017701,0.017701,0.0,0.0
a,bigger_multi,instance_0018.txt,1,1,0,0,16.066666666666666,16.066666666666666,16.066666666666666,16.066666666666666,16.066666666666666,0.0,0.0,1205.0,1205.0,1205,1205,1205,0.0,0.0,75.0,75.0,75,75,75,0.0,0.0,0.064205,0.064205,0.064205,0.064205,0.064205,0.0,0.0
a,bigger_multi,instance_0019.txt,1,1,0,0,10.40625,10.40625,10.40625,10.40625,10.40625,0.0,0.0,999.0,999.0,999,999,999,0.0,0.0,96.0,96.0,96,96,96,0.0,0.0,0.145831,0.145831,0.145831,0.145831,0.145831,0.0,0.0
a,bigger_multi,instance_0020.txt,1,1,0,0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.000137,0.000137,0.000137,0.000137,0.000137,0.0,0.0
a,diff,instance_0001.txt,30,30,0,0,2.637948717948718,2.6153846153846154,2.6153846153846154,2.6153846153846154,2.72,0.0015067981591058565,0.03881749810466739,67.86666666666666,68.0,68,67,68,0.11555555555555559,0.33993463423951903,25.733333333333334,26.0,26,25,26,0.19555555555555557,0.4422166387140533,0.003328333333333333,0.003506,0.003453,0.001685,0.004514,3.604496222222221e-07,0.0006003745682673626
a,diff,instance_0002.txt,30,30,0,0,1.8,2.0,2.0,1.0,2.0,0.16000000000000003,0.4,2.0,2.0,2,2,2,0.0,0.0,1.2,1.0,1,1,2,0.16000000000000003,0.4,0.00012550000000000001,0.0001195,0.000118,0.000109,0.000163,1.9778333333333333e-10,1.4063546257375248e-05
a,diff,instance_0003.txt,30,30,0,0,2.838225442782567,2.864864864864865,2.864864864864865,2.5853658536585367,2.9444444444444446,0.003961672581081047,0.06294181901630304,106.0,106.0,106,106,106,0.0,0.0,37.36666666666667,37.0,37,36,41,0.7655555555555552,0.8749603165604456,0.006707000000000001,0.0060775,0.003699,0.003699,0.010993,3.7110630666666666e-06,0.0019264119670170934
a,diff,instance_0004.txt,30,30,0,0,1.7056281761716547,1.6956521739130435,1.7727272727272727,1.5416666666666667,2.0,0.013074354065805555,0.11434314175238301,38.7,39.0,39,37,40,1.2099999999999997,1.0999999999999999,22.766666666666666,22.0,22,20,25,1.6455555555555548,1.2827920936595902,0.0016687333333333333,0.001789,0.001789,0.001218,0.001998,7.577639555555558e-08,0.00027527512701941594
a,diff,instance_0005.txt,30,30,0,0,31.851951761345596,31.844202898550726,31.840579710144926,31.840579710144926,32.08029197080292,0.0018105800376992892,0.04255091112654686,4394.5,4394.5,4394,4394,4395,0.25,0.5,137.96666666666667,138.0,138,137,138,0.032222222222222215,0.17950549357115012,0.2083645,0.212091,0.117462,0.117462,0.276865,0.0013709429271166669,0.03702624646270085
a,diff,instance_0006.txt,30,30,0,0,26.657534246575338,26.65753424657534,26.65753424657534,26.65753424657534,26.65753424657534,1.262177448353619e-29,3.552713678800501e-15,3892.0,3892.0,3892,3892,3892,0.0,0.0,146.0,146.0,146,146,146,0.0,0.0,0.23125106666666667,0.2467055,0.141924,0.127681,0.295295,0.0018076159401955556,0.042516066847670134
a,diff,instance_0007.txt,30,30,0,0,25.818791946308718,25.818791946308725,25.818791946308725,25.818791946308725,25.818791946308725,5.048709793414476e-29,7.105427357601002e-15,3847.0,3847.0,3847,3847,3847,0.0,0.0,149.0,149.0,149,149,149,0.0,0.0,0.24868869999999996,0.2698795,0.263285,0.143297,0.338753,0.0021143980614100003,0.04598258432722111
a,diff,instance_0008.txt,30,30,0,0,21.832730475631237,21.846153846153847,21.846153846153847,21.671755725190838,21.846153846153847,0.0017764293538845037,0.04214770876197784,2839.7,2840.0,2840,2839,2840,0.21000000000000002,0.45825756949558405,130.06666666666666,130.0,130,130,131,0.06222222222222222,0.24944382578492943,0.139543,0.1434915,0.114403,0.080687,0.229508,0.0008691782648666666,0.029481829401627482
a,diff,instance_0009.txt,30,30,0,0,2.02604898504281,2.026666666666667,2.026666666666667,1.7586206896551724,2.0821917808219177,0.0037223827668900348,0.061011333102056,152.2,152.0,152,152,153,0.16000000000000003,0.4,75.2,75.0,75,73,87,6.826666666666664,2.612789058968723,0.01777243333333333,0.018448,0.021294,0.011565,0.024157,1.0510666112222222e-05,0.0032420157482995395
a,diff,instance_0010.txt,30,30,0,0,5.512552920472089,5.507886435331231,5.507886435331231,5.507886435331231,5.560509554140127,0.0001621872168576444,0.012735274510494244,1746.0,1746.0,1746,1746,1746,0.0,0.0,316.73333333333335,317.0,317,314,317,0.5288888888888887,0.7272474743090476,0.27584850000000005,0.26182649999999996,0.168139,0.168139,0.343809,0.0026664810915833334,0.05163798109515256
a,diff,instance_0011.txt,30,30,0,0,6.3598936363621705,6.350931677018633,6.350931677018633,6.350931677018633,6.390625,0.00010775626134814754,0.010380571340159826,2044.7,2045.0,2045,2044,2045,0.2099999999999999,0.4582575694955839,321.5,322.0,322,320,322,0.31666666666666665,0.5627314338711378,0.3055527333333333,0.30596199999999996,0.19293,0.19293,0.396316,0.003682249458595556,0.06068154133338701
a,diff,instance_0012.txt,30,30,0,0,1.8870423484930587,1.8829787234042554,1.8829787234042554,1.8631578947368421,1.903225806451613,9.223614622262128e-05,0.009603965130227269,177.0,177.0,177,177,177,0.0,0.0,93.8,94.0,94,93,95,0.22666666666666663,0.4760952285695233,0.022038866666666667,0.0242015,0.02279,0.01172,0.029151,2.406721664888889e-05,0.004905834959401803
a,diff,instance_0013.txt,30,30,0,0,12.487738419618532,12.487738419618529,12.487738419618529,12.487738419618529,12.487738419618529,1.262177448353619e-29,3.552713678800501e-15,4583.0,4583.0,4583,4583,4583,0.0,0.0,367.0,367.0,367,367,367,0.0,0.0,0.8459143333333333,0.8754175,0.446033,0.446033,1.055233,0.027484528914555554,0.16578458587744385
a,diff,instance_0014.txt,30,30,0,0,20.46994364637285,20.473544973544975,20.473544973544975,20.41952506596306,20.473544973544975,0.00018157380360986334,0.013474932415780917,7739.0,7739.0,7739,7739,7739,0.0,0.0,378.06666666666666,378.0,378,378,379,0.06222222222222225,0.2494438257849295,1.7724516333333333,1.833215,1.524765,1.048878,2.132629,0.07988686167503221,0.282642639520353
a,diff,instance_0015.txt,30,30,0,0,10.306287046653862,10.305322128851541,10.305322128851541,10.305322128851541,10.334269662921349,2.7000924592174886e-05,0.0051962413908684885,3679.0,3679.0,3679,3679,3679,0.0,0.0,356.96666666666664,357.0,357,356,357,0.032222222222222215,0.17950549357115012,0.7451190333333335,0.7625965,0.878618,0.437729,0.989173,0.022925731399165553,0.15141245457083624
a,diff,instance_0016.txt,30,30,0,0,9.527777777777777,9.527777777777779,9.527777777777779,9.527777777777779,9.527777777777779,3.1554436208840472e-30,1.7763568394002505e-15,686.0,686.0,686,686,686,0.0,0.0,72.0,72.0,72,72,72,0.0,0.0,0.0372149,0.0375525,0.037584,0.018629,0.049576,4.1245794956666666e-05,0.006422288918809763
a,diff,instance_0017.txt,30,30,0,0,3.809983896940418,3.8043478260869565,3.8043478260869565,3.8043478260869565,3.888888888888889,0.0004447141253134385,0.021088246141237978,175.0,175.0,175,175,175,0.0,0.0,45.93333333333333,46.0,46,45,46,0.06222222222222222,0.24944382578492943,0.0088862,0.0093525,0.005891,0.005393,0.011702,2.4104386933333328e-06,0.0015525587568054656
a,diff,instance_0018.txt,30,30,0,0,15.855263157894736,15.855263157894736,15.855263157894736,15.855263157894736,15.855263157894736,0.0,0.0,1205.0,1205.0,1205,1205,1205,0.0,0.0,76.0,76.0,76,76,76,0.0,0.0,0.05078386666666667,0.052323499999999995,0.032727,0.032446,0.06592,7.615440531555556e-05,0.008726649145895323
a,diff,instance_0019.txt,30,30,0,0,9.60576923076923,9.60576923076923,9.60576923076923,9.60576923076923,9.60576923076923,0.0,0.0,999.0,999.0,999,999,999,0.0,0.0,104.0,104.0,104,104,104,0.0,0.0,0.06001483333333333,0.0592275,0.069745,0.038822,0.075462,0.00010684302967222222,0.010336490200847781
a,diff,instance_0020.txt,30,30,0,0,3.7333333333333334,4.0,4.0,3.0,4.0,0.10666666666666663,0.3265986323710904,11.4,12.0,12,10,12,0.64,0.8,3.066666666666667,3.0,3,3,4,0.06222222222222222,0.24944382578492943,9.580000000000001e-05,8.65e-05,8.3e-05,7.9e-05,0.000236,8.262933333333334e-10,2.8745318459417586e-05
a,diff_bigger,instance_0001.txt,1,1,0,0,2.6153846153846154,2.6153846153846154,2.6153846153846154,2.6153846153846154,2.6153846153846154,0.0,0.0,68.0,68.0,68,68,68,0.0,0.0,26.0,26.0,26,26,26,0.0,0.0,0.002258,0.002258,0.002258,0.002258,0.002258,0.0,0.0
