dataset,instance,best_objective
a,instance_0001.txt,3.170556087187666
a,instance_0002.txt,1.6
a,instance_0003.txt,3.20688723462917
a,instance_0004.txt,2.0015789473684213
a,instance_0005.txt,32.22022849610294
a,instance_0006.txt,27.418752545715694
a,instance_0007.txt,26.532538509656735
a,instance_0008.txt,21.580230450917472
a,instance_0009.txt,2.3452319902319902
a,instance_0010.txt,5.945610086267115
a,instance_0011.txt,6.965394573427419
a,instance_0012.txt,2.393714193510532
a,instance_0013.txt,12.640072486300603
a,instance_0014.txt,20.313295541451303
a,instance_0015.txt,10.726423567420424
a,instance_0016.txt,9.582957532102814
a,instance_0017.txt,3.7784704700028584
a,instance_0018.txt,14.697777696150457
a,instance_0019.txt,9.394046432351072
a,instance_0020.txt,3.8
