dataset,instance,best_objective
a,instance_0001.txt,2.9254281949934127
a,instance_0002.txt,1.0
a,instance_0003.txt,3.033529801765096
a,instance_0004.txt,1.9347836051416614
a,instance_0005.txt,31.855002383956315
a,instance_0006.txt,27.375998244444766
a,instance_0007.txt,26.57192192727907
a,instance_0008.txt,21.749131888745893
a,instance_0009.txt,2.1915949831940162
a,instance_0010.txt,5.867004443149759
a,instance_0011.txt,6.908607258479618
a,instance_0012.txt,2.519571682782702
a,instance_0013.txt,12.674559391279807
a,instance_0014.txt,20.484635537634148
a,instance_0015.txt,10.764313466387105
a,instance_0016.txt,9.528513087658371
a,instance_0017.txt,3.808079647389455
a,instance_0018.txt,15.183638109857622
a,instance_0019.txt,9.46211901306241
a,instance_0020.txt,3.8
