dataset,instance,best_objective
a,instance_0001.txt,3.4948039215686273
a,instance_0002.txt,1.6
a,instance_0003.txt,3.3702575223637843
a,instance_0004.txt,1.9409523809523808
a,instance_0005.txt,32.12997282778055
a,instance_0006.txt,27.396994571074874
a,instance_0007.txt,26.642600601781044
a,instance_0008.txt,21.778536249068797
a,instance_0009.txt,2.3506863237869497
a,instance_0010.txt,5.935595558153127
a,instance_0011.txt,6.875925841839781
a,instance_0012.txt,2.3260998699598847
a,instance_0013.txt,12.633431312448453
a,instance_0014.txt,20.419979979949087
a,instance_0015.txt,10.677499394847393
a,instance_0016.txt,9.612865462246045
a,instance_0017.txt,3.7163724346740183
a,instance_0018.txt,15.028098855004021
a,instance_0019.txt,9.615884739593692
a,instance_0020.txt,3.8666666666666663
