dataset,instance,best_objective
b,instance_0001.txt,21.44864864864865
b,instance_0002.txt,20.636363636363637
b,instance_0003.txt,13.103658536585366
b,instance_0004.txt,17.190184049079754
b,instance_0005.txt,16.027932960893853
b,instance_0006.txt,21.563636363636363
b,instance_0007.txt,5.048484848484849
b,instance_0008.txt,15.376884422110553
b,instance_0009.txt,7.685851318944844
b,instance_0010.txt,19.42116182572614
b,instance_0011.txt,39.628630705394194
b,instance_0012.txt,26.5175983436853
b,instance_0013.txt,40.200828157349896
b,instance_0014.txt,42.24844720496895
b,instance_0015.txt,18.108040201005025
