algorithm,instance,instance_path,run_id,seed,objective,time_s,feasible,timed_out,total_items,num_aisles,num_orders,params
simple,instance_0004.txt,datasets/a/instance_0004.txt,0,42,1.625,0.001544,True,False,39,24,8,{'greedy': 'simple'}
simple,instance_0001.txt,datasets/a/instance_0001.txt,0,42,2.5185185185185186,0.002207,True,False,68,27,21,{'greedy': 'simple'}
simple,instance_0003.txt,datasets/a/instance_0003.txt,0,42,3.0,0.0038,True,False,105,35,28,{'greedy': 'simple'}
simple,instance_0002.txt,datasets/a/instance_0002.txt,0,42,2.0,0.000273,True,False,2,1,1,{'greedy': 'simple'}
simple,instance_0009.txt,datasets/a/instance_0009.txt,0,42,2.04,0.017548,True,False,153,75,38,{'greedy': 'simple'}
simple,instance_0012.txt,datasets/a/instance_0012.txt,0,42,2.3289473684210527,0.027634,True,False,177,76,45,{'greedy': 'simple'}
simple,instance_0017.txt,datasets/a/instance_0017.txt,0,42,3.5,0.009194,True,False,175,50,175,{'greedy': 'simple'}
simple,instance_0016.txt,datasets/a/instance_0016.txt,0,42,9.527777777777779,0.036098,True,False,686,72,686,{'greedy': 'simple'}
simple,instance_0018.txt,datasets/a/instance_0018.txt,0,42,15.253164556962025,0.052482,True,False,1205,79,1013,{'greedy': 'simple'}
simple,instance_0020.txt,datasets/a/instance_0020.txt,0,42,3.3333333333333335,0.000141,True,False,10,3,4,{'greedy': 'simple'}
simple_multi,instance_0001.txt,datasets/a/instance_0001.txt,0,42,2.6153846153846154,0.004442,True,False,68,26,21,{'greedy': 'multi'}
simple_multi,instance_0002.txt,datasets/a/instance_0002.txt,0,42,1.0,0.000186,True,False,2,2,2,{'greedy': 'multi'}
simple_multi,instance_0003.txt,datasets/a/instance_0003.txt,0,42,3.533333333333333,0.007148,True,False,106,30,28,{'greedy': 'multi'}
simple_multi,instance_0004.txt,datasets/a/instance_0004.txt,0,42,2.1052631578947367,0.001543,True,False,40,19,9,{'greedy': 'multi'}
simple,instance_0019.txt,datasets/a/instance_0019.txt,0,42,9.60576923076923,0.065513,True,False,999,104,828,{'greedy': 'simple'}
simple,instance_0008.txt,datasets/a/instance_0008.txt,0,42,21.6793893129771,0.136581,True,False,2840,131,466,{'greedy': 'simple'}
simple,instance_0005.txt,datasets/a/instance_0005.txt,0,42,32.08029197080292,0.224876,True,False,4395,137,902,{'greedy': 'simple'}
simple,instance_0011.txt,datasets/a/instance_0011.txt,0,42,6.370716510903427,0.24624,True,False,2045,321,610,{'greedy': 'simple'}
simple,instance_0010.txt,datasets/a/instance_0010.txt,0,42,5.632258064516129,0.282673,True,False,1746,310,608,{'greedy': 'simple'}
simple_multi,instance_0009.txt,datasets/a/instance_0009.txt,0,42,2.140845070422535,0.015911,True,False,152,71,41,{'greedy': 'multi'}
simple_multi,instance_0005.txt,datasets/a/instance_0005.txt,0,42,33.037593984962406,0.21747,True,False,4394,133,870,{'greedy': 'multi'}
simple_multi,instance_0012.txt,datasets/a/instance_0012.txt,0,42,2.6666666666666665,0.029303,True,False,176,66,37,{'greedy': 'multi'}
simple_multi,instance_0008.txt,datasets/a/instance_0008.txt,0,42,21.671755725190838,0.215986,True,False,2839,131,498,{'greedy': 'multi'}
simple_multi,instance_0011.txt,datasets/a/instance_0011.txt,0,42,6.976109215017065,0.332522,True,False,2044,293,600,{'greedy': 'multi'}
simple,instance_0006.txt,datasets/a/instance_0006.txt,0,42,26.65753424657534,0.189771,True,False,3892,146,2781,{'greedy': 'simple'}
simple_multi,instance_0010.txt,datasets/a/instance_0010.txt,0,42,5.8006644518272426,0.400724,True,False,1746,301,611,{'greedy': 'multi'}
simple_multi,instance_0017.txt,datasets/a/instance_0017.txt,0,42,3.6458333333333335,0.01382,True,False,175,48,175,{'greedy': 'multi'}
simple,instance_0007.txt,datasets/a/instance_0007.txt,0,42,25.993243243243242,0.250116,True,False,3847,148,2943,{'greedy': 'simple'}
simple_multi,instance_0016.txt,datasets/a/instance_0016.txt,0,42,9.527777777777779,0.020026,True,False,686,72,686,{'greedy': 'multi'}
simple_multi,instance_0020.txt,datasets/a/instance_0020.txt,0,42,3.0,0.000143,True,False,12,4,4,{'greedy': 'multi'}
aisle_cluster_expansion,instance_0001.txt,datasets/a/instance_0001.txt,0,42,15.0,0.016588,True,False,45,3,12,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0002.txt,datasets/a/instance_0002.txt,0,42,2.0,0.000353,True,False,2,1,1,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0003.txt,datasets/a/instance_0003.txt,0,42,8.75,0.034905,True,False,35,4,7,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0004.txt,datasets/a/instance_0004.txt,0,42,3.5,0.004201,True,False,7,2,1,"{'attempts': 20, 'max_added_aisles': 20}"
simple_multi,instance_0018.txt,datasets/a/instance_0018.txt,0,42,15.0625,0.045221,True,False,1205,80,1025,{'greedy': 'multi'}
simple_multi,instance_0019.txt,datasets/a/instance_0019.txt,0,42,9.60576923076923,0.093252,True,False,999,104,837,{'greedy': 'multi'}
simple_multi,instance_0006.txt,datasets/a/instance_0006.txt,0,42,27.216783216783217,0.384386,True,False,3892,143,2828,{'greedy': 'multi'}
simple_multi,instance_0007.txt,datasets/a/instance_0007.txt,0,42,26.170068027210885,0.330698,True,False,3847,147,2959,{'greedy': 'multi'}
aisle_cluster_expansion,instance_0006.txt,datasets/a/instance_0006.txt,0,42,655.0,0.255431,True,False,655,1,432,"{'attempts': 20, 'max_added_aisles': 20}"
