dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,aisle_first_asc,instance_0001.txt,1,1,0,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.004773,0.004773,0.004773,0.004773,0.004773,0.0,0.0
a,aisle_first_asc,instance_0002.txt,1,1,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.000265,0.000265,0.000265,0.000265,0.000265,0.0,0.0
a,aisle_first_asc,instance_0003.txt,1,1,0,0,9.25,9.25,9.25,9.25,9.25,0.0,0.0,37.0,37.0,37,37,37,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.008418,0.008418,0.008418,0.008418,0.008418,0.0,0.0
a,aisle_first_asc,instance_0004.txt,1,1,0,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.002255,0.002255,0.002255,0.002255,0.002255,0.0,0.0
a,aisle_first_asc,instance_0005.txt,1,1,0,0,166.5,166.5,166.5,166.5,166.5,0.0,0.0,1332.0,1332.0,1332,1332,1332,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,0.121779,0.121779,0.121779,0.121779,0.121779,0.0,0.0
a,aisle_first_asc,instance_0006.txt,1,1,0,0,675.0,675.0,675.0,675.0,675.0,0.0,0.0,675.0,675.0,675,675,675,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.091202,0.091202,0.091202,0.091202,0.091202,0.0,0.0
a,aisle_first_asc,instance_0007.txt,1,1,0,0,284.2,284.2,284.2,284.2,284.2,0.0,0.0,1421.0,1421.0,1421,1421,1421,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.144782,0.144782,0.144782,0.144782,0.144782,0.0,0.0
a,aisle_first_asc,instance_0008.txt,1,1,0,0,121.45454545454545,121.45454545454545,121.45454545454545,121.45454545454545,121.45454545454545,0.0,0.0,1336.0,1336.0,1336,1336,1336,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,0.12511,0.12511,0.12511,0.12511,0.12511,0.0,0.0
a,aisle_first_asc,instance_0009.txt,1,1,0,0,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,3.111111111111111,0.0,0.0,56.0,56.0,56,56,56,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,0.021398,0.021398,0.021398,0.021398,0.021398,0.0,0.0
a,aisle_first_asc,instance_0010.txt,1,1,0,0,8.215686274509803,8.215686274509803,8.215686274509803,8.215686274509803,8.215686274509803,0.0,0.0,419.0,419.0,419,419,419,0.0,0.0,51.0,51.0,51,51,51,0.0,0.0,0.342299,0.342299,0.342299,0.342299,0.342299,0.0,0.0
a,aisle_first_asc,instance_0011.txt,1,1,0,0,13.107142857142858,13.107142857142858,13.107142857142858,13.107142857142858,13.107142857142858,0.0,0.0,367.0,367.0,367,367,367,0.0,0.0,28.0,28.0,28,28,28,0.0,0.0,0.12421,0.12421,0.12421,0.12421,0.12421,0.0,0.0
a,aisle_first_asc,instance_0012.txt,1,1,0,0,7.2,7.2,7.2,7.2,7.2,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.006522,0.006522,0.006522,0.006522,0.006522,0.0,0.0
a,aisle_first_asc,instance_0013.txt,1,1,0,0,78.1,78.1,78.1,78.1,78.1,0.0,0.0,1562.0,1562.0,1562,1562,1562,0.0,0.0,20.0,20.0,20,20,20,0.0,0.0,0.443563,0.443563,0.443563,0.443563,0.443563,0.0,0.0
a,aisle_first_asc,instance_0014.txt,1,1,0,0,144.21428571428572,144.21428571428572,144.21428571428572,144.21428571428572,144.21428571428572,0.0,0.0,2019.0,2019.0,2019,2019,2019,0.0,0.0,14.0,14.0,14,14,14,0.0,0.0,0.441851,0.441851,0.441851,0.441851,0.441851,0.0,0.0
a,aisle_first_asc,instance_0015.txt,1,1,0,0,129.33333333333334,129.33333333333334,129.33333333333334,129.33333333333334,129.33333333333334,0.0,0.0,388.0,388.0,388,388,388,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.090148,0.090148,0.090148,0.090148,0.090148,0.0,0.0
a,aisle_first_asc,instance_0016.txt,1,1,0,0,78.0,78.0,78.0,78.0,78.0,0.0,0.0,156.0,156.0,156,156,156,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.015202,0.015202,0.015202,0.015202,0.015202,0.0,0.0
