dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,dinkelbach_mip,instance_0001.txt,1,1,0,0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,45.0,45.0,45,45,45,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.064615,0.064615,0.064615,0.064615,0.064615,0.0,0.0
a,dinkelbach_mip,instance_0002.txt,1,1,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.004858,0.004858,0.004858,0.004858,0.004858,0.0,0.0
a,dinkelbach_mip,instance_0003.txt,1,1,0,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,48.0,48.0,48,48,48,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.129853,0.129853,0.129853,0.129853,0.129853,0.0,0.0
a,dinkelbach_mip,instance_0004.txt,1,1,0,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.02321,0.02321,0.02321,0.02321,0.02321,0.0,0.0
a,dinkelbach_mip,instance_0005.txt,1,1,0,0,167.5,167.5,167.5,167.5,167.5,0.0,0.0,1340.0,1340.0,1340,1340,1340,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,590.033584,590.033584,590.033584,590.033584,590.033584,0.0,0.0
a,dinkelbach_mip,instance_0006.txt,1,1,0,0,691.0,691.0,691.0,691.0,691.0,0.0,0.0,691.0,691.0,691,691,691,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,5.678993,5.678993,5.678993,5.678993,5.678993,0.0,0.0
a,dinkelbach_mip,instance_0007.txt,1,1,0,0,392.25,392.25,392.25,392.25,392.25,0.0,0.0,1569.0,1569.0,1569,1569,1569,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,157.673123,157.673123,157.673123,157.673123,157.673123,0.0,0.0
a,dinkelbach_mip,instance_0008.txt,1,1,0,0,157.16666666666666,157.16666666666666,157.16666666666666,157.16666666666666,157.16666666666666,0.0,0.0,2829.0,2829.0,2829,2829,2829,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,590.029476,590.029476,590.029476,590.029476,590.029476,0.0,0.0
a,dinkelbach_mip,instance_0009.txt,1,1,0,0,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,0.0,0.0,53.0,53.0,53,53,53,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,7.487724,7.487724,7.487724,7.487724,7.487724,0.0,0.0
a,dinkelbach_mip,instance_0010.txt,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
