dataset,algorithm,instance,total_runs,feasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,aisle_cluster_expansion,instance_0001.txt,1,1,0,12.5,12.5,12.5,12.5,12.5,0.0,0.0,50.0,50.0,50,50,50,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.022605,0.022605,0.022605,0.022605,0.022605,0.0,0.0
a,aisle_cluster_expansion,instance_0002.txt,1,1,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.00036,0.00036,0.00036,0.00036,0.00036,0.0,0.0
a,aisle_cluster_expansion,instance_0003.txt,1,1,0,8.5,8.5,8.5,8.5,8.5,0.0,0.0,34.0,34.0,34,34,34,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.040395,0.040395,0.040395,0.040395,0.040395,0.0,0.0
a,aisle_cluster_expansion,instance_0004.txt,1,1,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.004328,0.004328,0.004328,0.004328,0.004328,0.0,0.0
a,aisle_cluster_expansion,instance_0005.txt,1,1,0,138.0909090909091,138.0909090909091,138.0909090909091,138.0909090909091,138.0909090909091,0.0,0.0,1519.0,1519.0,1519,1519,1519,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,1.639655,1.639655,1.639655,1.639655,1.639655,0.0,0.0
a,aisle_cluster_expansion,instance_0006.txt,1,1,0,691.0,691.0,691.0,691.0,691.0,0.0,0.0,691.0,691.0,691,691,691,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.312129,0.312129,0.312129,0.312129,0.312129,0.0,0.0
a,aisle_cluster_expansion,instance_0007.txt,1,1,0,293.4,293.4,293.4,293.4,293.4,0.0,0.0,1467.0,1467.0,1467,1467,1467,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.609375,0.609375,0.609375,0.609375,0.609375,0.0,0.0
a,aisle_cluster_expansion,instance_0008.txt,1,1,0,125.72727272727273,125.72727272727273,125.72727272727273,125.72727272727273,125.72727272727273,0.0,0.0,1383.0,1383.0,1383,1383,1383,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,1.449159,1.449159,1.449159,1.449159,1.449159,0.0,0.0
a,aisle_cluster_expansion,instance_0009.txt,1,1,0,2.7,2.7,2.7,2.7,2.7,0.0,0.0,54.0,54.0,54,54,54,0.0,0.0,20.0,20.0,20,20,20,0.0,0.0,0.15256,0.15256,0.15256,0.15256,0.15256,0.0,0.0
a,aisle_cluster_expansion,instance_0012.txt,1,1,0,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665,0.0,0.0,35.0,35.0,35,35,35,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,0.152502,0.152502,0.152502,0.152502,0.152502,0.0,0.0
a,aisle_cluster_expansion,instance_0013.txt,1,1,0,86.05555555555556,86.05555555555556,86.05555555555556,86.05555555555556,86.05555555555556,0.0,0.0,1549.0,1549.0,1549,1549,1549,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,2.008783,2.008783,2.008783,2.008783,2.008783,0.0,0.0
a,aisle_cluster_expansion,instance_0014.txt,1,1,0,140.78571428571428,140.78571428571428,140.78571428571428,140.78571428571428,140.78571428571428,0.0,0.0,1971.0,1971.0,1971,1971,1971,0.0,0.0,14.0,14.0,14,14,14,0.0,0.0,2.373722,2.373722,2.373722,2.373722,2.373722,0.0,0.0
a,aisle_cluster_expansion,instance_0015.txt,1,1,0,109.0,109.0,109.0,109.0,109.0,0.0,0.0,436.0,436.0,436,436,436,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.650432,0.650432,0.650432,0.650432,0.650432,0.0,0.0
