algorithm,instance,instance_path,run_id,seed,objective,time_s,feasible,timed_out,total_items,num_aisles,num_orders,params
simple,instance_0002.txt,datasets/a/instance_0002.txt,0,42,2.0,0.000269,True,False,2,1,1,{'greedy': 'simple'}
simple,instance_0001.txt,datasets/a/instance_0001.txt,0,42,2.7916666666666665,0.00245,True,False,67,24,21,{'greedy': 'simple'}
simple,instance_0003.txt,datasets/a/instance_0003.txt,0,42,2.789473684210526,0.005757,True,False,106,38,29,{'greedy': 'simple'}
simple,instance_0004.txt,datasets/a/instance_0004.txt,0,42,1.6956521739130435,0.001242,True,False,39,23,9,{'greedy': 'simple'}
simple,instance_0009.txt,datasets/a/instance_0009.txt,0,42,2.283582089552239,0.013474,True,False,153,67,32,{'greedy': 'simple'}
simple,instance_0012.txt,datasets/a/instance_0012.txt,0,42,2.4583333333333335,0.014278,True,False,177,72,41,{'greedy': 'simple'}
simple,instance_0017.txt,datasets/a/instance_0017.txt,0,42,3.30188679245283,0.009716,True,False,175,53,175,{'greedy': 'simple'}
simple,instance_0016.txt,datasets/a/instance_0016.txt,0,42,9.397260273972602,0.024696,True,False,686,73,686,{'greedy': 'simple'}
simple,instance_0018.txt,datasets/a/instance_0018.txt,0,42,15.64935064935065,0.05683,True,False,1205,77,1047,{'greedy': 'simple'}
simple,instance_0020.txt,datasets/a/instance_0020.txt,0,42,3.0,0.000141,True,False,12,4,4,{'greedy': 'simple'}
simple_multi,instance_0001.txt,datasets/a/instance_0001.txt,0,42,2.9130434782608696,0.004524,True,False,67,23,18,{'greedy': 'multi'}
simple_multi,instance_0002.txt,datasets/a/instance_0002.txt,0,42,1.0,0.000196,True,False,2,2,2,{'greedy': 'multi'}
simple_multi,instance_0003.txt,datasets/a/instance_0003.txt,0,42,3.1176470588235294,0.00765,True,False,106,34,27,{'greedy': 'multi'}
simple_multi,instance_0004.txt,datasets/a/instance_0004.txt,0,42,1.8571428571428572,0.001798,True,False,39,21,9,{'greedy': 'multi'}
simple,instance_0019.txt,datasets/a/instance_0019.txt,0,42,9.514285714285714,0.072434,True,False,999,105,820,{'greedy': 'simple'}
simple,instance_0008.txt,datasets/a/instance_0008.txt,0,42,21.02962962962963,0.136305,True,False,2839,135,455,{'greedy': 'simple'}
simple,instance_0005.txt,datasets/a/instance_0005.txt,0,42,32.55555555555556,0.158919,True,False,4395,135,848,{'greedy': 'simple'}
simple,instance_0011.txt,datasets/a/instance_0011.txt,0,42,6.407523510971787,0.307026,True,False,2044,319,600,{'greedy': 'simple'}
simple,instance_0010.txt,datasets/a/instance_0010.txt,0,42,5.490566037735849,0.292376,True,False,1746,318,612,{'greedy': 'simple'}
