dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,ga_base_uniform_seeded,instance_0001.txt,1,1,0,0,11.3333333333333,11.3333333333333,11.3333333333333,11.3333333333333,11.3333333333333,0,0,68,68,68,68,68,0,0,6,6,6,6,6,0,0,20.194566,20.194566,20.194566,20.194566,20.194566,0,0
a,ga_base_uniform_seeded,instance_0002.txt,1,1,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,1,1,1,1,1,0,0,1.942589,1.942589,1.942589,1.942589,1.942589,0,0
a,ga_base_uniform_seeded,instance_0003.txt,1,1,0,0,7.57142857142857,7.57142857142857,7.57142857142857,7.57142857142857,7.57142857142857,0,0,106,106,106,106,106,0,0,14,14,14,14,14,0,0,63.137496,63.137496,63.137496,63.137496,63.137496,0,0
a,ga_base_uniform_seeded,instance_0004.txt,1,1,0,0,3.5,3.5,3.5,3.5,3.5,0,0,7,7,7,7,7,0,0,2,2,2,2,2,0,0,7.745277,7.745277,7.745277,7.745277,7.745277,0,0
a,ga_base_uniform_seeded,instance_0005.txt,1,1,0,1,37.8793103448276,37.8793103448276,37.8793103448276,37.8793103448276,37.8793103448276,0,0,4394,4394,4394,4394,4394,0,0,116,116,116,116,116,0,0,90.000635,90.000635,90.000635,90.000635,90.000635,0,0
a,ga_base_uniform_seeded,instance_0006.txt,1,1,0,1,31.9016393442623,31.9016393442623,31.9016393442623,31.9016393442623,31.9016393442623,0,0,3892,3892,3892,3892,3892,0,0,122,122,122,122,122,0,0,90.001482,90.001482,90.001482,90.001482,90.001482,0,0
a,ga_base_uniform_seeded,instance_0007.txt,1,1,0,1,28.7089552238806,28.7089552238806,28.7089552238806,28.7089552238806,28.7089552238806,0,0,3847,3847,3847,3847,3847,0,0,134,134,134,134,134,0,0,90.001858,90.001858,90.001858,90.001858,90.001858,0,0
a,ga_base_uniform_seeded,instance_0008.txt,1,1,0,1,33.6904761904762,33.6904761904762,33.6904761904762,33.6904761904762,33.6904761904762,0,0,2830,2830,2830,2830,2830,0,0,84,84,84,84,84,0,0,90.000371,90.000371,90.000371,90.000371,90.000371,0,0
a,ga_base_uniform_seeded,instance_0009.txt,1,1,0,1,3.92307692307692,3.92307692307692,3.92307692307692,3.92307692307692,3.92307692307692,0,0,153,153,153,153,153,0,0,39,39,39,39,39,0,0,90.000429,90.000429,90.000429,90.000429,90.000429,0,0
a,ga_base_uniform_seeded,instance_0010.txt,1,1,0,1,6.41911764705882,6.41911764705882,6.41911764705882,6.41911764705882,6.41911764705882,0,0,1746,1746,1746,1746,1746,0,0,272,272,272,272,272,0,0,90.000278,90.000278,90.000278,90.000278,90.000278,0,0
a,ga_base_uniform_seeded,instance_0011.txt,1,1,0,1,7.3,7.3,7.3,7.3,7.3,0,0,1971,1971,1971,1971,1971,0,0,270,270,270,270,270,0,0,90.000308,90.000308,90.000308,90.000308,90.000308,0,0
a,ga_base_uniform_seeded,instance_0012.txt,1,1,0,1,5,5,5,5,5,0,0,175,175,175,175,175,0,0,35,35,35,35,35,0,0,90.000367,90.000367,90.000367,90.000367,90.000367,0,0
a,ga_base_uniform_seeded,instance_0013.txt,1,1,0,1,13.0569800569801,13.0569800569801,13.0569800569801,13.0569800569801,13.0569800569801,0,0,4583,4583,4583,4583,4583,0,0,351,351,351,351,351,0,0,90.000531,90.000531,90.000531,90.000531,90.000531,0,0
