dataset,algorithm,instance,total_runs,feasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,aisle_cluster_expansion,instance_0001.txt,5,5,0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,45.0,45.0,45,45,45,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.1244052,0.123512,0.108889,0.108889,0.143038,0.00013559871415999998,0.01164468609108893
a,aisle_cluster_expansion,instance_0002.txt,5,5,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.00041799999999999997,0.000415,0.000458,0.000389,0.000458,5.028000000000001e-10,2.242320226907834e-05
a,aisle_cluster_expansion,instance_0003.txt,5,5,0,8.75,8.75,8.75,8.75,8.75,0.0,0.0,35.0,35.0,35,35,35,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.23364959999999999,0.241227,0.239197,0.202866,0.243691,0.00023893503264000004,0.015457523496343132
a,aisle_cluster_expansion,instance_0004.txt,5,5,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.024783,0.02484,0.023747,0.023507,0.026721,1.312210800000001e-06,0.0011455176995577158
a,aisle_cluster_expansion,instance_0005.txt,5,5,0,143.5,143.5,143.5,143.5,143.5,0.0,0.0,1435.0,1435.0,1435,1435,1435,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,11.1404326,11.194856,9.221647,9.221647,12.448812,1.2293484723970396,1.1087598804055996
a,aisle_cluster_expansion,instance_0006.txt,5,5,0,691.0,691.0,691.0,691.0,691.0,0.0,0.0,691.0,691.0,691,691,691,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,2.661117,2.419072,2.417641,2.35628,3.057592,0.10462563689680002,0.32345886430394827
a,aisle_cluster_expansion,instance_0007.txt,5,5,0,328.25,328.25,328.25,328.25,328.25,0.0,0.0,1313.0,1313.0,1313,1313,1313,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,6.4149214,6.012622,5.442233,5.442233,8.189244,0.9157620266278403,0.9569545582878219
a,aisle_cluster_expansion,instance_0008.txt,5,5,0,132.2,132.2,132.2,132.2,132.2,0.0,0.0,1322.0,1322.0,1322,1322,1322,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,13.966915,13.643017,13.643017,12.109065,16.802148,2.6419527748235994,1.6254084947555798
a,aisle_cluster_expansion,instance_0009.txt,5,5,0,3.375,3.375,3.375,3.375,3.375,0.0,0.0,54.0,54.0,54,54,54,0.0,0.0,16.0,16.0,16,16,16,0.0,0.0,3.0126061999999996,3.11505,2.691914,2.374977,3.692379,0.20260263523895997,0.4501140247081399
a,aisle_cluster_expansion,instance_0012.txt,5,5,0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,4.4315616,4.941318,4.976012,3.453918,4.976012,0.43034316186623994,0.6560054587168006
a,aisle_cluster_expansion,instance_0015.txt,5,5,0,119.75,119.75,119.75,119.75,119.75,0.0,0.0,479.0,479.0,479,479,479,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,16.461050399999998,14.683566,23.311173,13.177062,23.311173,12.842720132073842,3.5836741107519585
a,aisle_cluster_expansion,instance_0018.txt,5,5,0,104.0,104.0,104.0,104.0,104.0,0.0,0.0,624.0,624.0,624,624,624,0.0,0.0,6.0,6.0,6,6,6,0.0,0.0,1.0819465999999998,1.064064,0.901111,0.901111,1.247049,0.019768693582640003,0.1406011862774991
a,aisle_cluster_expansion,instance_0019.txt,5,5,0,202.0,202.0,202.0,202.0,202.0,0.0,0.0,202.0,202.0,202,202,202,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.5060432,0.478103,0.464154,0.436428,0.672764,0.007184290432560003,0.08476019367934456
a,aisle_cluster_expansion,instance_0020.txt,5,5,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.00030359999999999995,0.0003,0.000328,0.000279,0.000328,3.4023999999999995e-10,1.8445595680270125e-05
a,greedy_set_cover,instance_0001.txt,5,5,0,11.333333333333334,11.333333333333334,11.333333333333334,11.333333333333334,11.333333333333334,0.0,0.0,68.0,68.0,68,68,68,0.0,0.0,6.0,6.0,6,6,6,0.0,0.0,0.7055326000000001,0.77057,0.786424,0.401327,0.79897,0.023249804915039998,0.15247886710964242
a,greedy_set_cover,instance_0002.txt,5,5,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0003152,0.00035,0.000355,0.000252,0.000355,2.0933600000000003e-09,4.57532512505942e-05
a,greedy_set_cover,instance_0003.txt,5,5,0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,100.0,100.0,100,100,100,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.8149316,2.794065,2.250872,2.250872,3.300978,0.13971488266744,0.37378454043397785
a,greedy_set_cover,instance_0004.txt,5,5,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.087537,0.087891,0.089829,0.084536,0.090643,6.3199636000000065e-06,0.002513953778413598
a,greedy_set_cover,instance_0009.txt,5,5,0,4.076923076923077,4.076923076923077,4.076923076923077,4.076923076923077,4.076923076923077,0.0,0.0,53.0,53.0,53,53,53,0.0,0.0,13.0,13.0,13,13,13,0.0,0.0,15.127423399999998,15.046283,17.229464,11.670003,17.229464,3.892169958402641,1.9728583219285263
